,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
55,b'mike anderson',"b""Love the App, sound quality isn't the greatest though when playing back in my vehicle compared to Spotify. But it's free, so can't complain!""",b'Rated 4 stars out of five stars',"b'January 29, 2020'","{'neg': 0.113, 'neu': 0.706, 'pos': 0.181, 'compound': 0.2556}",0.2556,Positive,0.48,0.5599999999999999,Positive
56,b'Music Lover',"b""It's good plays the music offline and whatever but it doesn't let you loop only one song and considering I have over 300 songs on here I really don't want to delete the app, can u fix it please?""",b'Rated 4 stars out of five stars',"b'January 21, 2020'","{'neg': 0.078, 'neu': 0.832, 'pos': 0.09, 'compound': 0.1153}",0.1153,Positive,0.3,0.6,Positive
57,b'Christopher Gopie',"b""No ad is the best some music work app needs some work i can't play music in the back ground I click on a song and it's the wrong one but its one best so far""",b'Rated 4 stars out of five stars',"b'February 12, 2020'","{'neg': 0.087, 'neu': 0.708, 'pos': 0.205, 'compound': 0.7803}",0.7803,Positive,0.32,0.5,Positive
58,b'Shannen Marino',b'THE APP IS GREAT but theres one small issue like after i pause the music it starts again out of nowhere even when im using external apps could you please fix this \xf0\x9f\x98\xadother that that it works absolutely great',b'Rated 4 stars out of five stars',"b'March 9, 2020'","{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.9451}",0.9451,Positive,0.3375,0.5,Positive
59,b'Leonard Durecki',"b""Uses too much data and offline music is only saved to the app, there's better apps than this Spotify knockoff.""",b'Rated 2 stars out of five stars',"b'March 15, 2020'","{'neg': 0.062, 'neu': 0.702, 'pos': 0.236, 'compound': 0.6369}",0.6369,Positive,0.2333333333333333,0.5666666666666667,Positive
60,b'\xc3\x98yet 2003',b'there is aproblem with offline mode when i dont have wifi and go to my downloaded playlist it has the loading icon and it doesnt let me play my playlist can you fix it?',b'Rated 2 stars out of five stars',"b'March 21, 2020'","{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.3687}",-0.3687,Negative,0.0,0.0,Negative
61,b'Misty -_-',"b""It's really good it has every song that I want and no ads. I really enjoy this app very much""",b'Rated 5 stars out of five stars',"b'February 16, 2020'","{'neg': 0.091, 'neu': 0.579, 'pos': 0.33, 'compound': 0.699}",0.6990000000000001,Positive,0.4533333333333334,0.4533333333333334,Positive
62,b'Ahmed El Hafyan',b'Ive been using this app for a while but for some reason ever since yesterday all the music ive downloaded offline is unplayable. Please fix this. Thanks',b'Rated 2 stars out of five stars',"b'March 7, 2020'","{'neg': 0.055, 'neu': 0.729, 'pos': 0.216, 'compound': 0.7227}",0.7227,Positive,-0.1,0.45,Negative
63,b'Harry Adams',b'Really easy to listen to ofline music. So a great app for people who want to listen to music ofline no',b'Rated 4 stars out of five stars',"b'March 8, 2020'","{'neg': 0.082, 'neu': 0.597, 'pos': 0.321, 'compound': 0.7501}",0.7501,Positive,0.6166666666666667,0.7916666666666667,Positive
64,b'NANA',"b'Very good app! Some song tho when u download them, they dont work after downloading i dont know why. Otherwise its good!'",b'Rated 3 stars out of five stars',"b'February 25, 2020'","{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5399}",0.5399,Positive,0.9375,0.6900000000000002,Positive
65,b'Lee Allen Beal',b'I lile it so far looks like Spotify Premium you can download music listen to offline & online add more update after you download songs be good if you can add ophion to save them on your phone if you can glad its free',b'Rated 5 stars out of five stars',"b'February 29, 2020'","{'neg': 0.028, 'neu': 0.689, 'pos': 0.283, 'compound': 0.9282}",0.9282,Positive,0.44,0.78,Positive
