,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
27,Swapnil Sharma,Worst app ever not able to use any cupon code an if i am trying to but their + membership they are not accepting any of my debit card i have tried with 3 to 4 different banks cards and still they are asking for another one and also they have no reply for it Worst service ! Please uninstall the app d...\nFull Review,Rated 1 stars out of five stars,"April 8, 2020","{'neg': 0.201, 'neu': 0.757, 'pos': 0.042, 'compound': -0.9025}",-0.9025,Negative,-0.5625,0.80625,Negative
28,Parth Waghire,The app is very good. But I wish that Identify the song  feature was a good one which is not included in the current update I wish it would get included in the coming update.,Rated 4 stars out of five stars,"April 10, 2020","{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9065}",0.9065,Positive,0.5366666666666666,0.5933333333333334,Positive
29,paresh mengade,"Though I like the app very much , but when I paid for gaana plus services 399 , money is debited from my card still showing it as a free user , no where to contact you guys for the same, I was logged in with my id only from thtbod only I purchased still no idea, either its a malfunction or somethin...\nFull Review",Rated 1 stars out of five stars,"April 5, 2020","{'neg': 0.089, 'neu': 0.812, 'pos': 0.099, 'compound': 0.1531}",0.1531,Positive,0.132,0.637,Positive
30,Sameep Shah,"Hi Gaana, Im facing a big issue in which songs Autoplaying stops after three songs are played, I have to manually change it to next song which ruins my experience, please fix this. Thanks.",Rated 4 stars out of five stars,"April 8, 2020","{'neg': 0.115, 'neu': 0.691, 'pos': 0.194, 'compound': 0.4767}",0.4767,Positive,0.012500000000000004,0.125,Positive
31,its banner,I cant listen English or other songs dont know why it just says that this song is not available in your region but my other friends can easily get access to those songs without any problem..you fixed it then but it has started again,Rated 1 stars out of five stars,"April 2, 2020","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.8047}",0.8047,Positive,0.01388888888888889,0.3638888888888889,Positive
32,Akash Das,"There is no way to play song through ganna app in wi fi speakers except Sonos .2 there is a lack of international music like Arabic,Latin, French song and the albums are not so good.I Like to play some music in this languages.Iam a plus member and I expect you will help me.",Rated 1 stars out of five stars,"April 1, 2020","{'neg': 0.114, 'neu': 0.719, 'pos': 0.167, 'compound': 0.4912}",0.4912,Positive,0.0,0.0,Negative
33,Anirudh Agarwal,"Kindly fix a few bugs, the next song sometimes doesnt start for no apparent reason. Ill upgrade to Plus if you take care of the issues. :-)",Rated 4 stars out of five stars,"April 6, 2020","{'neg': 0.081, 'neu': 0.611, 'pos': 0.308, 'compound': 0.7775}",0.7775,Positive,0.062499999999999986,0.5583333333333333,Positive
34,Mayank Salgaonkar,The songs gets stop in between for 5 secs and ruins the enjoyment. When I download n hear song it plays well. But while playing online it gets stuck. Please rectify. I think the issue is when the screen lock is done.,Rated 2 stars out of five stars,"April 5, 2020","{'neg': 0.145, 'neu': 0.613, 'pos': 0.241, 'compound': 0.5719}",0.5719,Positive,-0.15,0.2,Negative
35,Sri T,"nice song collection. not many annoying ads. please keep it that way. thanks gaana Update from April 2020: Please stop these ads that go on for 30 sec. Do not become youtube! You are going to lose users if you keep this up. Atleast one, ME.",Rated 5 stars out of five stars,"April 2, 2020","{'neg': 0.086, 'neu': 0.687, 'pos': 0.226, 'compound': 0.7876}",0.7876,Positive,-0.07500000000000001,0.64,Negative
36,Pranjal Barola,"UI is so clumsy & cluttered. Feels laggy even on a flagship device. Lyrics view is a pain to look at. It badly needs a redesign. Look at Apple Music, you will fall in love with its UI, Spotifys UI is much better too.",Rated 1 stars out of five stars,"April 5, 2020","{'neg': 0.128, 'neu': 0.701, 'pos': 0.17, 'compound': 0.2732}",0.2732,Positive,5.551115123125783e-17,0.5416666666666666,Positive
37,Team Underground Ramnagar,"It is crashing without any reason. I am not able to acess this application anymore because it is shutting off without any reason. I uninstalled and reinstalled this app, but the problem does not go away, please help me out if you can.",Rated 2 stars out of five stars,"March 31, 2020","{'neg': 0.126, 'neu': 0.799, 'pos': 0.075, 'compound': -0.3491}",-0.3491,Negative,-0.25,0.625,Negative
38,Bishal Mandal,Pathetic experience. This application have a serious bug. Whenever I try to download the song the song goes to queue but never gets downloaded even if I am having high speed internet.,Rated 2 stars out of five stars,"April 6, 2020","{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,-0.3911111111111111,0.7355555555555555,Negative
39,Sumit Machra,It is 6 April 2020 and the issue is same. There is no option to close the app and it keeps on coming in the notification Please put an x button while closing through notification or give some option in the settings to close the app.,Rated 1 stars out of five stars,"April 7, 2020","{'neg': 0.047, 'neu': 0.903, 'pos': 0.049, 'compound': 0.0258}",0.0258,Positive,0.0,0.125,Negative
40,Sushmita Guha,It used to be so much better. But nowadays even the net is working it takes so much time to search n sometimes it just doesnt search at all. Kindly fix it before i had to uninstall this app,Rated 2 stars out of five stars,"April 4, 2020","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.749}",0.7490000000000001,Positive,0.325,0.4,Positive
41,Arpit dragneel,"Best app in the play store for listening songs ..I wish you could add anime music too , and also try to work on songs that are played from our file storage..it doesnt shuffle properly and keep on repeating the same song !",Rated 4 stars out of five stars,"April 7, 2020","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.8999}",0.8999,Positive,0.3333333333333333,0.17500000000000002,Positive
