,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
87,harshita gupta,"I would have given them 5 stars but when I am creating a playlist, I add songs to it but when I open the playlist it shows no songs are there in it and I tried so many times but it is not showing up and it says that the songs are there in it but it is not showing up and I hope you solve this problem...\nFull Review",Rated 4 stars out of five stars,"March 21, 2020","{'neg': 0.041, 'neu': 0.83, 'pos': 0.129, 'compound': 0.7227}",0.7227,Positive,0.25,0.5,Positive
88,shila1978 bhagat,"I am really disappointed with gaana because the song being played keeps on stopping in between and thats really irritating, despite of having a good internet connection.",Rated 1 stars out of five stars,"March 30, 2020","{'neg': 0.323, 'neu': 0.604, 'pos': 0.073, 'compound': -0.807}",-0.807,Negative,-0.15,0.7166666666666668,Negative
89,ravi kumar,"It is constantly struggling to play a song or consume the internet, although my internet speed is good and unrestricted by data saver. please fix it.",Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.089, 'neu': 0.669, 'pos': 0.242, 'compound': 0.5859}",0.5859,Positive,0.35,0.4666666666666667,Positive
90,Pavithra Karthikeyan,I real liked this app it is easy to use and i liked few tamil songs in it and it showing so much songs in all languages and it showing the lyrics for all songs in it and one song ends mean it automatically going to next song so no need to click next song button(\xe2\x8f\xad).so we can easily hear songs without...\nFull Review,Rated 4 stars out of five stars,"March 24, 2020","{'neg': 0.041, 'neu': 0.803, 'pos': 0.156, 'compound': 0.7926}",0.7926,Positive,0.2282407407407407,0.4949074074074075,Positive
91,A Google user,New update of gaana ruined the app...it was fabulous before. I was using it from 3 years but now if I open the app then it closes itself within 10 secs. Unable to use it. Please remove the new update,Rated 2 stars out of five stars,"March 31, 2020","{'neg': 0.05, 'neu': 0.825, 'pos': 0.125, 'compound': 0.4767}",0.4767,Positive,0.034545454545454546,0.5818181818181818,Positive
92,Bhavesh Shingare,Best App for online Music. Developers just try to reduce the data consumption for this app coz I have to give nearly about 200-250 MB/ day for app (approx 2 hr usage/day) .Which is very large when compared with competition like Spotify. Plzz work on it. Many people have switched bcoz of the data con...\nFull Review,Rated 5 stars out of five stars,"March 17, 2020","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.7717}",0.7717,Positive,0.4696428571428571,0.4392857142857143,Positive
93,Sabeer Nilamel,Stupid app dont download a song downloaded after not playing with out internet If you listen song from gaana any time j have internet must... If you like music go 4share app all music is free for download and play any time without internet,Rated 1 stars out of five stars,"March 29, 2020","{'neg': 0.099, 'neu': 0.737, 'pos': 0.163, 'compound': 0.4953}",0.4953,Positive,-0.2,0.9,Negative
94,Sumedha mishra,This is really good application. I cannot stop being its addictive. But it have only three sins no. 1 is the audio search mostly dont get what I am saying. Sometimes it also makes my mobile hang. Problem no. 2 we cannot download songs as in other applications. Problem no. 3 I cannot remove any song...\nFull Review,Rated 4 stars out of five stars,"March 22, 2020","{'neg': 0.238, 'neu': 0.682, 'pos': 0.081, 'compound': -0.8368}",-0.8368,Negative,0.215,0.675,Positive
95,Manojkumar sahoo,Buffering is too slow and so many times it lags while playing in the same time in another music app buffers faster and gives continuous smooth play,Rated 3 stars out of five stars,"March 31, 2020","{'neg': 0.081, 'neu': 0.782, 'pos': 0.137, 'compound': 0.1779}",0.1779,Positive,0.15,0.38125,Positive
96,Ali Naqi Khan,"Update App and fix all the bugs. App is unstable, Soundcloud even has better user interface and stability.",Rated 1 stars out of five stars,"April 4, 2020","{'neg': 0.117, 'neu': 0.748, 'pos': 0.136, 'compound': 0.1027}",0.1027,Positive,0.5,0.5,Positive
97,Reddy R,"Android TV app worst app, did not logging, I try soo many times, and I till aromatically going to player option, mobile version app is good",Rated 1 stars out of five stars,"April 4, 2020","{'neg': 0.141, 'neu': 0.759, 'pos': 0.1, 'compound': -0.296}",-0.29600000000000004,Negative,0.06666666666666665,0.7000000000000001,Positive
98,Anudeep Mayura,Its very good. But the problems are few and very annoying 1. Whether the sync happens automatically or not. And doing it manually is annoying. 2.creating playlists from downloaded songs shld be as simple as just selecting them and adding into a Playlist from downloaded songs menu. It asks to downlo...\nFull Review,Rated 4 stars out of five stars,"March 20, 2020","{'neg': 0.148, 'neu': 0.798, 'pos': 0.054, 'compound': -0.6697}",-0.6697,Negative,-0.21800000000000005,0.6274285714285714,Negative
99,Rakesh Ranjan,"They suddenly forgot that I was a plus user and changed me to a free user, despite the fact that my annual plan got renewed a week back. Update: I sent the screenshots to the support email address and Gaana decided to close the ticket without providing any resolution. Same thing for the next couple ...\nFull Review",Rated 1 stars out of five stars,"March 22, 2020","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.7184}",0.7184,Positive,0.08,0.28500000000000003,Positive
100,Ranjith Kumar,"Hi Ive been using gaana from a long time, but recently Ive given a second thought. Im not sure what is the technical issue but my app stops playing songs or it shows its playing songs but no sound. Note Im on an updated version n my hardware is working totally fine. Hope you guys solve it asap, ...\nFull Review",Rated 1 stars out of five stars,"March 22, 2020","{'neg': 0.103, 'neu': 0.704, 'pos': 0.194, 'compound': 0.7479}",0.7479,Positive,-0.011904761904761902,0.3626984126984127,Negative
101,Feni Kadivar,App is crashing continuously! Cant even play a single song. Note: App is already updated.,Rated 2 stars out of five stars,"March 31, 2020","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3244}",-0.3244,Negative,-0.07142857142857142,0.21428571428571427,Negative
102,chirag Keswani,"I just updated the latest app version. Now after updation, its getting crashed every time I use..",Rated 1 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.5,0.9,Positive
103,Babita pandey,First of all the music streaming quality is very good.It is better than other app I used before in terms of music playing speed. But at this app I expect them not to show to much ads and they should atleast give 1month free download time because oyher app (wynk music) which I used provided no ads wi...\nFull Review,Rated 2 stars out of five stars,"March 28, 2020","{'neg': 0.035, 'neu': 0.832, 'pos': 0.132, 'compound': 0.7239}",0.7239,Positive,0.2375,0.4180555555555556,Positive
104,Bhagyesh Patel,"2 for giving gaana plus for free & for lyrics. I dont think i will ever use gaana if below given points are not solved. I downloaded gaana on my windows laptop & it wasnt working so I started using Spotify on my laptop & smartphone. I found that Spotify is light weight, quick and I can not forget ...\nFull Review",Rated 2 stars out of five stars,"April 6, 2020","{'neg': 0.032, 'neu': 0.837, 'pos': 0.131, 'compound': 0.6759}",0.6759,Positive,0.37777777777777777,0.6666666666666666,Positive
105,Vidhi Patel,"Keeps on loading. Uninstlled and installed three times though its not opening, Its been four days now.",Rated 3 stars out of five stars,"April 5, 2020","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.0,0.0,Negative
106,abhishek kumar,Now it has bugs.although I am gaana plus user still I am facing unwanted ads which is pretty disturbing. Switching to Amazon music after expiration of the plan,Rated 1 stars out of five stars,"April 2, 2020","{'neg': 0.162, 'neu': 0.685, 'pos': 0.153, 'compound': -0.0772}",-0.0772,Negative,-0.125,0.9,Negative
107,Harshit Saxena,"Nice app with most of the songs, although few songs are not available. Subscription for student year pack is also affordable as compared to other music apps",Rated 4 stars out of five stars,"April 2, 2020","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4215}",0.4215,Positive,0.11500000000000005,0.475,Positive
108,Tanya Singh Thakur,"Too much ads, make this app inappropriate. Makes the user experience worst. This app is not good as it was before.",Rated 1 stars out of five stars,"April 8, 2020","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.7584}",-0.7584,Negative,-0.3833333333333333,0.6,Negative
109,Hemant kumar Sinha,In my music list it does not sort from latest to oldest. It always does from oldest to latest.,Rated 2 stars out of five stars,"April 8, 2020","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.5,0.9,Positive
110,Max,Love it for easy hindi playlist to listen to online. Hardly dont find some bollywood music I want from mid to old. Ive been using this for over 2 years now. Im so much impressed by this app I came to add review again!! By myself. So apart from downloading songs which requires gaana+ this app does...\nFull Review,Rated 5 stars out of five stars,"March 15, 2020","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.9074}",0.9074,Positive,0.2902777777777778,0.5291666666666667,Positive
111,Harjinder Singh,"No doubt the app is awesome and it\s recommendation system is also very good but there is a thing that is missing according to me that it doesn\t have a search option for offline songs so it would be nice to have search option for offline songs also and the play next option doesn\t work offline, w...\nFull Review",Rated 2 stars out of five stars,"March 28, 2020","{'neg': 0.166, 'neu': 0.668, 'pos': 0.166, 'compound': 0.4672}",0.4672,Positive,0.462,0.5660000000000001,Positive
112,Maggie Nihal,"Great app, would really enjoy if they have more songs on this app. It has most of the songs though, but not every song. Also, everytime i need to go into the settings to change the sound mode to rock. Please fix this! Its frustrating to go back again and again.",Rated 3 stars out of five stars,"March 21, 2020","{'neg': 0.067, 'neu': 0.795, 'pos': 0.139, 'compound': 0.492}",0.49200000000000005,Positive,0.3285714285714286,0.5071428571428571,Positive
113,Shuvendu Kumar Mohanta,I rated 5 star previous but from some time i think from last some updates i am facing issue regarding download even i have 3 mbps internet connection songs are downloading at 20 to 40 kbps only means very slow . And I am unable to listen online because it buffer every time even i have a very good in...\nFull Review,Rated 1 stars out of five stars,"March 22, 2020","{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.6474}",0.6474,Positive,-0.024444444444444453,0.5055555555555556,Negative
114,Dr Priyaranjan Panda,"Nice but give option fot ringtone like wynk and allow to download song and also to play offline and add new song like album songs , old changed new songs .",Rated 3 stars out of five stars,"March 31, 2020","{'neg': 0.046, 'neu': 0.61, 'pos': 0.344, 'compound': 0.8807}",0.8807,Positive,0.24318181818181814,0.5272727272727272,Positive
115,Meher Sharif,I love songs very much. But some songs are not getting downloaded on youtube. Then i decided to download this app. When i downloaded this app it was amazing.,Rated 5 stars out of five stars,"April 6, 2020","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.8402}",0.8402,Positive,0.4533333333333334,0.5866666666666667,Positive
116,A Google user,The app is wonderful but its latest updates has got some problems i think its not working properly...,Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.17, 'neu': 0.718, 'pos': 0.112, 'compound': -0.296}",-0.29600000000000004,Negative,0.5,0.6666666666666666,Positive
117,SR,very bad update. The latest update is causing the app to close unexpectedly. Please fix this issue asap,Rated 2 stars out of five stars,"April 1, 2020","{'neg': 0.172, 'neu': 0.724, 'pos': 0.104, 'compound': -0.3597}",-0.3597,Negative,-0.10333333333333328,0.9222222222222222,Negative
118,Adya Ashok,This is an amazing platform to listen to music of all genres. It has music that is extremely soothing to music that is hard core rock. Gaana is a perfect time pass application for people of all ages. You can find old Kishore Kumar and Mohammed Rafi songs to the latest Amit Trivedi and Armaan Malik a...\nFull Review,Rated 5 stars out of five stars,"March 22, 2020","{'neg': 0.022, 'neu': 0.822, 'pos': 0.156, 'compound': 0.8655}",0.8655,Positive,0.2972222222222222,0.7569444444444445,Positive
119,Shivani Mishra,"I hardly leave reviews, but Gaana, you need to do better. I dont know what happened, but ever since last year or so, your app has been malfunctioning. The songs never play when I am on a different app or if my screen is off. I might as well use YouTube then! I remember not having this issue in the ...\nFull Review",Rated 2 stars out of five stars,"March 8, 2020","{'neg': 0.041, 'neu': 0.833, 'pos': 0.126, 'compound': 0.6468}",0.6468,Positive,0.05208333333333333,0.4270833333333333,Positive
120,Sandeep S,This app has many functionalities missing. 1) After buying Gaana plus user doesnt have provision to change mob num or email id. 2) There is no num to call cust care and explaining issue is difficult 4) Song Download is an eyewash. You cant play the downloaded songs in any external player or copy i...\nFull Review,Rated 2 stars out of five stars,"March 18, 2020","{'neg': 0.142, 'neu': 0.808, 'pos': 0.051, 'compound': -0.577}",-0.5770000000000001,Negative,-0.05,0.4125,Negative
121,arun ghosh,"The performance is very slick but put repeat & backward option in the blank space under play button , please do the the same in the notification panel..",Rated 3 stars out of five stars,"April 6, 2020","{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.7227}",0.7227,Positive,-0.10833333333333334,0.2041666666666667,Negative
122,SR Style,I have turned off the smart download. But still when I play any song in repeat then that song is getting downloaded automatically. Please fix this.,Rated 1 stars out of five stars,"March 26, 2020","{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7506}",0.7506,Positive,0.21428571428571427,0.6428571428571429,Positive
123,Jay Ajani,Interface is simple and easy to use. Song quality is excellent! Loved this app!,Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.9018}",0.9018,Positive,0.5770833333333334,0.7476190476190476,Positive
124,RAVI KALE,"This is very easy and useful app for music lovers... No hanging,best performanse includ in this app.... Finely i love it app and also satisfied",Rated 5 stars out of five stars,"April 6, 2020","{'neg': 0.064, 'neu': 0.55, 'pos': 0.387, 'compound': 0.9033}",0.9033,Positive,0.4658333333333333,0.65,Positive
125,surbhi bhavsar,"This app is very cool nice . The quality of songs is great .But many songs like momolands songs are not in this app .So, thay should do something about it",Rated 2 stars out of five stars,"April 6, 2020","{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.9056}",0.9056,Positive,0.58875,0.77375,Positive
126,Our Nation,"This new update got a problem it crashes every time I open it, i tried uninstalling and reinstalling but its same please fix this problem ASAP.",Rated 1 stars out of five stars,"March 31, 2020","{'neg': 0.19, 'neu': 0.705, 'pos': 0.104, 'compound': -0.3506}",-0.3506,Negative,0.04545454545454545,0.3598484848484849,Positive
127,Anurag Gupta,"something is wrong with the update, songs are automatically stop after playing few songs and if you restart then it will start with the first song i have played. Continuously i am facing this issue. second not able to play downloaded songs while i am offline .",Rated 3 stars out of five stars,"March 23, 2020","{'neg': 0.177, 'neu': 0.739, 'pos': 0.084, 'compound': -0.5627}",-0.5627,Negative,-0.14,0.39166666666666666,Negative
128,Sohit Jatain,"It\s been 3 months: The moment I lock my phone, the app stops. Whenever I put app in the background, music stops. It works only when I keep my screen on with gaana app open. It has become a YouTube for mp3 songs. Very frustrating. I think it\s time to move to some other app. Sad but I left with no...\nFull Review",Rated 1 stars out of five stars,"March 19, 2020","{'neg': 0.117, 'neu': 0.883, 'pos': 0.0, 'compound': -0.5785}",-0.5785,Negative,-0.19083333333333333,0.6458333333333334,Negative
129,Aastha Singh,"Its amazing but the downloaded songs dont play in a flow if theres no internet connection and you have to like refresh it and allow internet access and then the songs start. Also, ive been trying for months now, literally, but i cant make a fourth playlist whys that?",Rated 4 stars out of five stars,"March 25, 2020","{'neg': 0.099, 'neu': 0.754, 'pos': 0.147, 'compound': 0.3911}",0.3911,Positive,0.30000000000000004,0.45,Positive
130,Snehasish Bose,"Very very very lovely app.I like it very very much.This app Catches up Very old but memorable song, Popular song like 90s, Classical song & Cinematic like Bengali Old,Bengali New,Hindi songs..........etc l like him",Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.9603}",0.9603,Positive,0.3057142857142857,0.5321428571428571,Positive
131,varshith chithanuru,It very nice app and it use full app when i am going to fo any work i will keep the song that i have related to the workand it uae full to the party time for song.and it will give sond efficets alao it goo app,Rated 5 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.6997}",0.6997,Positive,0.37,0.625,Positive
132,karma comes back,U can use this app its not very bad whats the main problem is that u will not get a variety of songs ... Want more songs in this ap .. Other wise its good,Rated 3 stars out of five stars,"April 4, 2020","{'neg': 0.067, 'neu': 0.674, 'pos': 0.259, 'compound': 0.7695}",0.7695,Positive,0.368482905982906,0.5368589743589743,Positive
133,Bobby Boo,Gaana used to be my favorite but it became worse since it stopped playing English songs! Please fix this,Rated 1 stars out of five stars,"April 3, 2020","{'neg': 0.233, 'neu': 0.501, 'pos': 0.266, 'compound': -0.1635}",-0.1635,Negative,0.033333333333333326,0.5333333333333333,Positive
134,Naven Naven,After I update this gaana app....its not working properly...automatically it come out from app and stop the song......you should responsible to fix this issue...,Rated 1 stars out of five stars,"March 31, 2020","{'neg': 0.086, 'neu': 0.824, 'pos': 0.09, 'compound': 0.0258}",0.0258,Positive,0.2,0.55,Positive
135,Vamsi Arji,1)i prefer to add songs into the album list even if total album is nor downloaded. 2)also another problem is why all songs which i downloaded is being marked as favourite - there should be a option in the settings to enable or disable it. 3) reginal songs are not listed along with hindi songs making...\nFull Review,Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.048, 'neu': 0.952, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,0.05,0.675,Positive
136,Keshav Singh Pathania,Problem in casting on android tv. TV aap and mobile aap songs are not synchronised. After playing one or two songs through cast connection automatically discounted.,Rated 3 stars out of five stars,"March 28, 2020","{'neg': 0.151, 'neu': 0.807, 'pos': 0.042, 'compound': -0.4753}",-0.4753,Negative,0.0,0.0,Negative
137,Peeyush Harbola,"App is good but the only problem is with its ownership! Ive got subscription of 1 year and when I shared my account with others, they were able to kick out other users without owners permission! This is sort of annoying because other than admin (the person who has purchased your app) no one shoul...\nFull Review",Rated 2 stars out of five stars,"March 22, 2020","{'neg': 0.168, 'neu': 0.754, 'pos': 0.078, 'compound': -0.7829}",-0.7829,Negative,0.01979166666666665,0.6458333333333334,Positive
138,Madhumita Garai,Very bad app ... This app give three months trials. After three months its downloads are not hear in the offline mode. Very bad and worst app dont use anyone. This app is full of ads....\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae,Rated 1 stars out of five stars,"March 29, 2020","{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.9253}",-0.9253,Negative,-0.6174999999999998,0.8208333333333333,Negative
139,Varsha Shah,This app is very interesting and fruitfull but I dont know whats wrong with playlist 1st it worked good but then after few day all song just completes in 2 seconds..,Rated 4 stars out of five stars,"March 30, 2020","{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.8473}",0.8473,Positive,0.16249999999999998,0.5625000000000001,Positive
140,uday Sharma,"Hi, I am gyanendra, this is a fantastic app and i love its lyrics But, there is a problem when I play any song it stop suddenly and After some time it again start . I am facing this problem. I am requesting you to please fix this problem as early as possible. Thanks.",Rated 5 stars out of five stars,"March 24, 2020","{'neg': 0.164, 'neu': 0.59, 'pos': 0.246, 'compound': 0.7269}",0.7269,Positive,0.2,0.5833333333333334,Positive
141,Fuddi Fake,"If you can be able to fix your songs background like Spotify, its annoying. It could be better. I love your Gaana",Rated 2 stars out of five stars,"March 29, 2020","{'neg': 0.092, 'neu': 0.58, 'pos': 0.328, 'compound': 0.7845}",0.7845,Positive,0.175,0.65625,Positive
142,Bhushan Sonawane,Working good but sometimes automatically stopped while playing music after one or two songs. Need to improve.,Rated 4 stars out of five stars,"March 26, 2020","{'neg': 0.101, 'neu': 0.557, 'pos': 0.343, 'compound': 0.6858}",0.6858,Positive,0.7,0.6000000000000001,Positive
143,Sridhar Bathula,Worst App Developer TEAM. Shawn Mendes songs are not playing Need to fix \xf0\x9f\x94\xa7 Im using Samsung S9 and excellent Internet connectivity. Dont think fault from my side. Its waste of money to purchase this app.,Rated 1 stars out of five stars,"April 6, 2020","{'neg': 0.187, 'neu': 0.682, 'pos': 0.131, 'compound': -0.3682}",-0.3682,Negative,-0.06666666666666668,0.6666666666666666,Negative
144,Adil Khan,"Search option is pretty bad. If you want to search for a song by typing, you have to type the name of the song exactly same letter by letter as it is feed in this apps database or else you will never find that song.",Rated 2 stars out of five stars,"March 31, 2020","{'neg': 0.071, 'neu': 0.837, 'pos': 0.092, 'compound': 0.0}",0.0,Negative,-0.14999999999999994,0.5972222222222222,Negative
145,Kashish Thakur,"Excellent experience absolutely mind blowing,Songs are downloaded and played much faster than any other by my opinion,really enjoying gaana since 1 year and throughout the year it never made me feel bored as different groups of songs are there for different moods.",Rated 5 stars out of five stars,"April 5, 2020","{'neg': 0.043, 'neu': 0.761, 'pos': 0.195, 'compound': 0.8126}",0.8126,Positive,0.159375,0.6593749999999999,Positive
146,MakeShift *Sajan,"The app doesnt have most of the international songs, buthas every Indian song. I wont recommend this app for those who listen to international songs more often as it doesnt have those. For example I was searching for Blackpink song, Chelsea cutler, bts, etc I got some songs but most of them were ...\nFull Review",Rated 3 stars out of five stars,"March 22, 2020","{'neg': 0.03, 'neu': 0.97, 'pos': 0.0, 'compound': -0.1419}",-0.1419,Negative,0.3,0.3,Positive
147,Hiren Panchal,"Very slow and not user-friendly at all! Disappointed, I just commented here few clicks, but Gaana you couldnt load one song! In this time, loading.. its not once, its always like this only, and I have broadband.",Rated 1 stars out of five stars,"March 27, 2020","{'neg': 0.053, 'neu': 0.849, 'pos': 0.099, 'compound': 0.4184}",0.4184,Positive,-0.371875,0.5925,Negative
148,manideep lanka,Discusting app...\xf0\x9f\x98\xa9 there is no proper Telugu playlists Mainly there is no workout playlist in Telugu\xf0\x9f\x98\x92 I seen tamil and kanadam workout playlists but what about telugu language playlists And also no usage of language changing in settings\xf0\x9f\x98\x96 I dont know why Im getting hindi playlist when i only sel...\nFull Review,Rated 1 stars out of five stars,"March 25, 2020","{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.6124}",-0.6124,Negative,0.05555555555555555,0.4777777777777778,Positive
149,LOKESH AMAAN,Songs got automatically deleted in playlist. Some songs shows Song already in playlist but doesnt show in playlist. Buggy app. Need more improvement in app,Rated 1 stars out of five stars,"April 4, 2020","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.664}",0.664,Positive,0.5,0.5,Positive
150,ahmad yoosuf,"The Gaana app is so perfectly organised with song and thats the reason i love gaana app, Suchh a beautiful and awesome recommendation of songs in all languages. 1.the issue is that this app has lots of bug and laggy experience 2.Gestures also needs to be improved gestures are not accurate. 3.Not opt...\nFull Review",Rated 1 stars out of five stars,"March 25, 2020","{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9708}",0.9708,Positive,0.63,0.8466666666666667,Positive
151,Jyoti Kashyap,I love love love this app. They even let you download songs offline with buying premium if you are a frequent user. Best app for music\xe2\x9d\xa4\xef\xb8\x8f,Rated 5 stars out of five stars,"March 31, 2020","{'neg': 0.04, 'neu': 0.509, 'pos': 0.45, 'compound': 0.9538}",0.9538,Positive,0.52,0.4799999999999999,Positive
152,Aishwarya Kanjalkar,"Great app, and ofcourse features! Gaana Plus is vey impresive as compared to all other music streaming apps! I prefer everyone to use this app.",Rated 5 stars out of five stars,"April 5, 2020","{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.6892}",0.6892,Positive,0.421875,0.5625,Positive
153,ishaan parekh,Its a good app. But theres been few bugs to be solved. Its that the playback of the song just hangs up. Randomly in between the song it just stops and doesnt resumes. I need to start it from the start. One more issue is that all the songs gets into the favourite category without me selecting it ...\nFull Review,Rated 3 stars out of five stars,"March 2, 2020","{'neg': 0.026, 'neu': 0.893, 'pos': 0.081, 'compound': 0.5267}",0.5267,Positive,0.125,0.425,Positive
154,Nabam Yate,Its written free song but nothing is free and its take too much time to play a song... and I cant download even one song even.. and taking much network.. I have bad experiences with this app!! Truely I dont like and make so irritated!!!!!!!,Rated 1 stars out of five stars,"March 22, 2020","{'neg': 0.137, 'neu': 0.663, 'pos': 0.2, 'compound': 0.5351}",0.5351,Positive,0.2,0.5527777777777777,Positive
155,Suresh Nayak,"This is a fantastic app, you can find any song you want in it.it is a very useful app,from my view and you can see videos,lyrics and many different language songs. It has also options of songs,singers ,language and it is very nice app for music.",Rated 5 stars out of five stars,"March 28, 2020","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8803}",0.8803,Positive,0.414,0.6,Positive
156,Emmanuel George,One thing guys you have to improve is that current app wont allow the play next button if there is no net connection all other apps allow that Im a plus user why would i need internet for pressing the play next button in my downloaded songs,Rated 4 stars out of five stars,"March 26, 2020","{'neg': 0.186, 'neu': 0.757, 'pos': 0.056, 'compound': -0.5725}",-0.5725,Negative,-0.025,0.155,Negative
157,Dnyaneshwar Vyalij,"Ganaa gives me the best music experience but after recent updates music pauses after 2-3 songs automatically, then I have to manually click next button then again the same happens after 2-3 songs and the loop continues... Please fix the problem soon. I am having the problem from More than month. Hop...\nFull Review",Rated 4 stars out of five stars,"March 26, 2020","{'neg': 0.119, 'neu': 0.788, 'pos': 0.093, 'compound': -0.3716}",-0.3716,Negative,0.3,0.235,Positive
158,Swapnil Gorane,I love this app. Please make auto play better. The auto play is good but not as good as spotify.,Rated 5 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.9081}",0.9081,Positive,0.6,0.5750000000000001,Positive
159,HARITHA REDDY NARLA,Really superb app We get correct lyrics for every song Latest songs are also played very well There is a lot to say about this apk so i rated 5\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90,Rated 5 stars out of five stars,"April 8, 2020","{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.8476}",0.8476,Positive,0.5666666666666667,0.7333333333333333,Positive
160,Hari hara sudhan,"Good app for songs, but it doesnt have many new popular songs.",Rated 3 stars out of five stars,"April 6, 2020","{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.6858}",0.6858,Positive,0.4840909090909091,0.6136363636363636,Positive
161,prabhat ray,"Availability and quality of Hindi songs is really Impressive.App is so easy to use.! Nice format, never change.",Rated 5 stars out of five stars,"April 6, 2020","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7804}",0.7804,Positive,0.44722222222222224,0.6777777777777777,Positive
162,Ankur Gola,It crashes many times. Songs stops playing pauses on its own.,Rated 1 stars out of five stars,"March 27, 2020","{'neg': 0.129, 'neu': 0.726, 'pos': 0.145, 'compound': 0.0516}",0.0516,Positive,0.55,0.75,Positive
163,Shen Lone,"The app is great except for one glitch. The equalizer doesnt work properly. It stops working on its own when you leave the equalizer interface and go back to the music section, or when you minimize the app & let the music play in the background. Had hoped the new update would fix it but its still ...\nFull Review",Rated 4 stars out of five stars,"February 18, 2020","{'neg': 0.039, 'neu': 0.862, 'pos': 0.098, 'compound': 0.5647}",0.5647,Positive,0.30727272727272725,0.4609090909090909,Positive
164,Dharmendra patel,"I love this app , but I dont know why the developers are giving multiple updated in a week, and app remains unchanged ...",Rated 5 stars out of five stars,"March 25, 2020","{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6908}",0.6908,Positive,0.25,0.3,Positive
